GID_0,year,rainy_months,stunting_rate,hot_months,rainy_months1,rainy_months2,hot_months1,hot_months2,GDP,laggedGDP,laggedGDP2
ZWE,2008,2,34.4,0,1,1,1,1,19.02107406,21.19768854,19.23011578
AGO,2009,2,32,2,0,0,0,3,6.62119707,4.805339317,5.242278337
BDI,2009,0,57.9,0,0,1,0,0,36.72136414,38.0048233,34.93417192
BEN,2009,1,35.1,1,3,1,0,2,26.97895538,26.82615619,26.97108697
BFA,2009,1,38.5,0,2,1,0,2,23.20484713,27.31428025,21.83948741
BWA,2009,2,26.5,0,1,1,1,2,2.819081868,2.526018242,2.240732656
CAF,2009,0,42.1,5,1,1,1,0,38.33386816,NA,NA
CIV,2009,0,32.4,1,1,0,1,1,15.24958164,16.18548418,15.57874633
CMR,2009,2,34.2,4,1,2,2,0,16.38719035,16.00119189,15.85753191
COD,2009,2,43.9,2,0,1,0,1,23.6746667,22.61867976,21.6022053
COG,2009,0,26.2,0,2,3,0,1,5.279933275,4.248150972,4.919811081
COM,2009,0,35.8,2,2,1,1,2,30.0330064,29.13891501,28.95664626
ERI,2009,0,49,5,0,1,2,1,14.12422744,16.77630738,24.26598059
ETH,2009,0,45.8,6,2,2,0,0,45.88269426,45.18455837,42.26501219
GAB,2009,0,19.6,1,1,1,1,2,5.044169793,4.229842032,4.957830803
GHA,2009,1,26,1,2,3,0,0,30.99338421,29.40809676,27.29411448
GIN,2009,1,35.1,0,1,1,0,1,16.36061888,15.98000719,16.81970923
GMB,2009,1,24.4,0,1,1,0,0,31.73422579,29.77571152,23.56619704
GNB,2009,1,30.9,0,1,1,0,0,43.99991803,46.66771695,43.17569289
GNQ,2009,0,29,2,0,0,3,1,1.058199791,0.89269612,1.372884044
KEN,2009,0,32.2,9,0,0,1,0,16.25498147,22.19634016,20.58666446
LBR,2009,1,38.1,2,2,1,2,0,58.03574661,65.17456547,65.59815004
LSO,2009,1,40.4,0,0,1,0,1,6.152037497,5.512029958,5.392479304
MDG,2009,0,49.6,3,2,1,1,2,30.46514813,27.05257205,28.06701329
MLI,2009,1,32.9,2,1,1,0,0,31.73570631,32.97032081,31.35287468
MOZ,2009,0,43.4,0,1,2,0,1,27.47564948,26.41548795,23.76611914
MRT,2009,1,28.5,2,1,1,0,0,19.17818215,18.5594231,18.43251928
MWI,2009,0,48.2,1,1,1,0,1,30.42900297,29.97580655,27.51127902
NAM,2009,2,26.6,1,3,0,1,3,8.148144593,7.531686571,8.440713665
NER,2009,0,49.5,1,1,1,0,0,34.78481027,38.77500623,37.09450644
NGA,2009,1,39.2,0,2,1,1,0,26.74885451,25.27975078,24.66257721
RWA,2009,0,46,0,0,1,0,0,25.37103092,24.79353906,26.08351546
SEN,2009,1,20.1,0,1,1,1,0,16.10773362,14.68662702,12.24591057
SLE,2009,0,38.2,1,2,1,2,0,55.26088268,53.65350832,52.17604718
SOM,2009,1,32.1,5,0,0,2,2,NA,NA,NA
STP,2009,1,20.9,0,2,2,1,1,10.81444988,9.477674521,9.42166267
SWZ,2009,1,32.1,1,0,0,2,1,9.250385772,9.999453904,10.75417526
SYC,2009,0,8.2,3,0,0,0,2,2.256942686,2.568828031,2.746664742
TCD,2009,0,40.1,2,0,0,0,0,46.54939263,54.5898348,54.67325498
TGO,2009,1,29.3,1,1,3,0,2,30.9296085,38.90206949,29.13972393
TZA,2009,0,41.4,2,0,0,0,0,26.03519036,24.76549388,23.24548824
UGA,2009,0,36.9,4,0,0,1,1,34.05722624,21.38459856,22.27811368
ZMB,2009,1,45.4,1,1,2,0,1,11.55278363,11.45399975,12.10559624
ZWE,2009,1,34.2,0,2,1,0,1,10.74255023,19.02107406,21.19768854
AGO,2010,2,31.9,3,2,0,2,0,6.180293181,6.62119707,4.805339317
BDI,2010,1,57.4,5,0,0,0,0,38.43054529,36.72136414,38.0048233
BEN,2010,2,34.6,2,1,3,1,0,25.8411355,26.97895538,26.82615619
BFA,2010,1,37.1,3,1,2,0,0,24.14338662,23.20484713,27.31428025
BWA,2010,2,25.9,0,2,1,0,1,2.488037862,2.819081868,2.526018242
CAF,2010,2,41.8,2,0,1,5,1,37.3635796,38.33386816,NA
CIV,2010,2,31.4,2,0,1,1,1,17.48891707,15.24958164,16.18548418
CMR,2010,1,33.6,2,2,1,4,2,17.26971088,16.38719035,16.00119189
COD,2010,1,43.6,3,2,0,2,0,21.42849112,23.6746667,22.61867976
COG,2010,2,25.1,4,0,2,0,0,4.038534521,5.279933275,4.248150972
COM,2010,1,34.7,4,0,2,2,1,30.4160595,30.0330064,29.13891501
ERI,2010,0,49.4,5,0,0,5,2,NA,14.12422744,16.77630738
ETH,2010,2,44.7,3,0,2,6,0,41.44682007,45.88269426,45.18455837
GAB,2010,1,18.8,4,0,1,1,1,3.914454417,5.044169793,4.229842032
GHA,2010,3,24.8,3,1,2,1,0,28.03873796,30.99338421,29.40809676
GIN,2010,1,34.7,3,1,1,0,0,17.48494873,16.36061888,15.98000719
GMB,2010,2,23.7,3,1,1,0,0,35.19324349,31.73422579,29.77571152
GNB,2010,1,30.5,3,1,1,0,0,45.0880468,43.99991803,46.66771695
GNQ,2010,0,27.8,3,0,0,2,3,1.061371286,1.058199791,0.89269612
KEN,2010,1,30.7,3,0,0,9,1,17.56775989,16.25498147,22.19634016
LBR,2010,2,37.3,4,1,2,2,2,44.80003003,58.03574661,65.17456547
LSO,2010,2,39.7,3,1,0,0,0,4.862223727,6.152037497,5.512029958
MDG,2010,1,49.1,4,0,2,3,1,29.07809635,30.46514813,27.05257205
MLI,2010,1,32.2,3,1,1,2,0,33.01683003,31.73570631,32.97032081
MOZ,2010,0,43.1,2,0,1,0,0,26.84576597,27.47564948,26.41548795
MRT,2010,2,27.9,5,1,1,2,0,16.7330487,19.17818215,18.5594231
MWI,2010,1,46.8,3,0,1,1,0,29.61487225,30.42900297,29.97580655
NAM,2010,1,25.9,1,2,3,1,1,8.455369441,8.148144593,7.531686571
NER,2010,1,49.2,4,0,1,1,0,35.82138796,34.78481027,38.77500623
NGA,2010,1,38.8,5,1,2,0,1,23.89370409,26.74885451,25.27975078
RWA,2010,1,44.1,5,0,0,0,0,24.32793451,25.37103092,24.79353906
SEN,2010,2,19.9,3,1,1,0,1,15.94526154,16.10773362,14.68662702
SLE,2010,2,37.4,4,0,2,1,2,52.94268026,55.26088268,53.65350832
SOM,2010,1,31.9,3,1,0,5,2,NA,NA,NA
STP,2010,1,20.1,3,1,2,0,1,11.26200842,10.81444988,9.477674521
SWZ,2010,0,31.1,1,1,0,1,2,10.15621273,9.250385772,9.999453904
SYC,2010,0,8.1,6,0,0,3,0,2.260877403,2.256942686,2.568828031
TCD,2010,2,39.6,4,0,0,2,0,51.94562302,46.54939263,54.5898348
TGO,2010,2,28.6,2,1,1,1,0,28.73929888,30.9296085,38.90206949
TZA,2010,0,40.6,3,0,0,2,0,25.58240689,26.03519036,24.76549388
UGA,2010,0,36,5,0,0,4,1,32.30043413,34.05722624,21.38459856
ZMB,2010,2,44,2,1,1,1,0,9.42094611,11.55278363,11.45399975
ZWE,2010,1,33.7,1,1,2,0,0,9.609863269,10.74255023,19.02107406
AGO,2011,3,32,0,2,2,3,2,5.845680969,6.180293181,6.62119707
BDI,2011,1,57,0,1,0,5,0,36.704576,38.43054529,36.72136414
BEN,2011,1,34.1,1,2,1,2,1,25.79700083,25.8411355,26.97895538
BFA,2011,1,35.5,1,1,1,3,0,23.04365045,24.14338662,23.20484713
BWA,2011,2,25.2,0,2,2,0,0,2.51091768,2.488037862,2.819081868
CAF,2011,0,41.6,0,2,0,2,5,37.56902278,37.3635796,38.33386816
CIV,2011,0,30.6,1,2,0,2,1,18.48667149,17.48891707,15.24958164
CMR,2011,2,33.1,0,1,2,2,4,16.69739074,17.26971088,16.38719035
COD,2011,1,43.1,1,1,2,3,2,20.91707601,21.42849112,23.6746667
COG,2011,2,24.1,0,2,0,4,0,3.983936192,4.038534521,5.279933275
COM,2011,1,33.5,2,1,0,4,2,30.56422084,30.4160595,30.0330064
ERI,2011,0,49.8,1,0,0,5,5,NA,NA,14.12422744
ETH,2011,1,43.7,2,2,0,3,6,41.24996386,41.44682007,45.88269426
GAB,2011,1,17.8,0,1,0,4,1,3.43228978,3.914454417,5.044169793
GHA,2011,3,23.5,0,3,1,3,1,23.66370497,28.03873796,30.99338421
GIN,2011,1,34.3,0,1,1,3,0,16.06974963,17.48494873,16.36061888
GMB,2011,1,23.1,0,2,1,3,0,27.20242061,35.19324349,31.73422579
GNB,2011,1,30,0,1,1,3,0,45.02245856,45.0880468,43.99991803
GNQ,2011,1,26.7,0,0,0,3,2,1.053502388,1.061371286,1.058199791
KEN,2011,1,29.2,4,1,0,3,9,18.89471122,17.56775989,16.25498147
LBR,2011,1,36.5,0,2,1,4,2,44.30050042,44.80003003,58.03574661
LSO,2011,1,38.8,1,2,1,3,0,4.543930319,4.862223727,6.152037497
MDG,2011,0,48.5,2,1,0,4,3,29.05020576,29.07809635,30.46514813
MLI,2011,1,31.5,1,1,1,3,2,34.55863058,33.01683003,31.73570631
MOZ,2011,1,43,0,0,0,2,0,25.75152927,26.84576597,27.47564948
MRT,2011,1,27.4,2,2,1,5,2,14.51589474,16.7330487,19.17818215
MWI,2011,0,45.3,0,1,0,3,1,28.77238042,29.61487225,30.42900297
NAM,2011,4,24.9,0,1,2,1,1,8.113627203,8.455369441,8.148144593
NER,2011,0,48.7,1,1,0,4,1,33.64676428,35.82138796,34.78481027
NGA,2011,1,38.4,1,1,1,5,0,22.23471099,23.89370409,26.74885451
RWA,2011,0,42.2,0,1,0,5,0,23.85008275,24.32793451,25.37103092
SEN,2011,1,19.8,0,2,1,3,0,12.94706104,15.94526154,16.10773362
SLE,2011,1,36.4,0,2,0,4,1,54.59346587,52.94268026,55.26088268
SOM,2011,1,31.5,2,1,1,3,5,NA,NA,NA
STP,2011,1,19.3,0,1,1,3,0,11.30013216,11.26200842,10.81444988
SWZ,2011,0,30.1,1,0,1,1,1,9.71988392,10.15621273,9.250385772
SYC,2011,1,8.1,3,0,0,6,3,2.221376932,2.260877403,2.256942686
TCD,2011,1,39.2,1,2,0,4,2,51.19620013,51.94562302,46.54939263
TGO,2011,0,27.9,0,2,1,2,1,29.87507362,28.73929888,30.9296085
TZA,2011,2,39.5,0,0,0,3,2,24.97686445,25.58240689,26.03519036
UGA,2011,1,35,1,0,0,5,4,28.69736875,32.30043413,34.05722624
ZMB,2011,1,42.6,0,2,1,2,1,9.648057822,9.42094611,11.55278363
ZWE,2011,2,32.8,0,1,1,1,0,8.665865173,9.609863269,10.74255023
AGO,2012,0,32.4,0,3,2,0,3,6.069630075,5.845680969,6.180293181
BDI,2012,0,56.8,0,1,1,0,5,35.4205377,36.704576,38.43054529
BEN,2012,0,33.8,0,1,2,1,2,25.76897583,25.79700083,25.8411355
BFA,2012,2,33.9,1,1,1,1,3,23.75600502,23.04365045,24.14338662
BWA,2012,0,24.4,0,2,2,0,0,2.69526989,2.51091768,2.488037862
CAF,2012,2,41.4,0,0,2,0,2,36.81416647,37.56902278,37.3635796
CIV,2012,0,29.3,1,0,2,1,2,16.37514988,18.48667149,17.48891707
CMR,2012,1,32.5,0,2,1,0,2,16.65724017,16.69739074,17.26971088
COD,2012,2,42.8,0,1,1,1,3,20.44106071,20.91707601,21.42849112
COG,2012,1,23.4,0,2,2,0,4,3.798774923,3.983936192,4.038534521
COM,2012,2,32.3,1,1,1,2,4,30.17296341,30.56422084,30.4160595
ERI,2012,0,50.1,0,0,0,1,5,NA,NA,NA
ETH,2012,2,42.8,1,1,2,2,3,44.33094275,41.24996386,41.44682007
GAB,2012,2,17.2,0,1,1,0,4,3.353697777,3.43228978,3.914454417
GHA,2012,1,22.2,0,3,3,0,3,22.13115469,23.66370497,28.03873796
GIN,2012,0,33.8,1,1,1,0,3,16.83167319,16.06974963,17.48494873
GMB,2012,2,22.4,1,1,2,0,3,27.39357146,27.20242061,35.19324349
GNB,2012,1,29.7,1,1,1,0,3,46.89249801,45.02245856,45.0880468
GNQ,2012,1,25.5,0,1,0,0,3,1.055657092,1.053502388,1.061371286
KEN,2012,1,27.8,0,1,1,4,3,18.82972593,18.89471122,17.56775989
LBR,2012,2,35.6,0,1,2,0,4,46.71272963,44.30050042,44.80003003
LSO,2012,1,37.7,0,1,2,1,3,4.8953086,4.543930319,4.862223727
MDG,2012,1,47.9,1,0,1,2,4,28.00061236,29.05020576,29.07809635
MLI,2012,1,30.9,1,1,1,1,3,38.11410248,34.55863058,33.01683003
MOZ,2012,1,42.9,2,1,0,0,2,24.91451109,25.75152927,26.84576597
MRT,2012,1,27,1,1,2,2,5,16.08596076,14.51589474,16.7330487
MWI,2012,1,43.8,3,0,1,0,3,28.28892624,28.77238042,29.61487225
NAM,2012,2,24.1,0,4,1,0,1,8.0544752,8.113627203,8.455369441
NER,2012,1,48.3,0,0,1,1,4,33.68099382,33.64676428,35.82138796
NGA,2012,0,38,0,1,1,1,5,21.85995862,22.23471099,23.89370409
RWA,2012,1,40.5,1,0,1,0,5,24.77932956,23.85008275,24.32793451
SEN,2012,2,19.8,1,1,2,0,3,14.09769235,12.94706104,15.94526154
SLE,2012,0,35.4,0,1,2,0,4,50.59211664,54.59346587,52.94268026
SOM,2012,0,31.1,2,1,1,2,3,NA,NA,NA
STP,2012,1,18.3,0,1,1,0,3,11.50249485,11.30013216,11.26200842
SWZ,2012,0,29.2,1,0,0,1,1,10.20333564,9.71988392,10.15621273
SYC,2012,0,8,1,1,0,3,6,2.044812859,2.221376932,2.260877403
TCD,2012,2,38.7,0,1,2,1,4,54.89981381,51.19620013,51.94562302
TGO,2012,0,27.4,0,0,2,0,2,42.52391813,29.87507362,28.73929888
TZA,2012,0,38.3,1,2,0,0,3,26.55092652,24.97686445,25.58240689
UGA,2012,3,34.1,0,1,0,1,5,26.93267196,28.69736875,32.30043413
ZMB,2012,1,41.3,0,1,2,0,2,9.321639536,9.648057822,9.42094611
ZWE,2012,0,31.4,1,2,1,0,1,8.044517527,8.665865173,9.609863269
AGO,2013,1,32.9,2,0,3,0,0,6.50749254,6.069630075,5.845680969
BDI,2013,3,56.6,1,0,1,0,0,38.3671082,35.4205377,36.704576
BEN,2013,0,33.5,1,0,1,0,1,25.27540464,25.76897583,25.79700083
BFA,2013,1,32.2,1,2,1,1,1,23.64109279,23.75600502,23.04365045
BWA,2013,1,23.9,0,0,2,0,0,2.29859284,2.69526989,2.51091768
CAF,2013,1,41.6,0,2,0,0,0,32.25890625,36.81416647,37.56902278
CIV,2013,0,28,0,0,0,1,1,15.34290194,16.37514988,18.48667149
CMR,2013,1,32,0,1,2,0,0,16.72366119,16.65724017,16.69739074
COD,2013,4,42.4,3,2,1,0,1,19.31666763,20.44106071,20.91707601
COG,2013,1,22.7,0,1,2,0,0,4.260083078,3.798774923,3.983936192
COM,2013,2,31,0,2,1,1,2,30.78986256,30.17296341,30.56422084
ERI,2013,0,50.3,5,0,0,0,1,NA,NA,NA
ETH,2013,2,41.8,2,2,1,1,2,41.23950553,44.33094275,41.24996386
GAB,2013,2,16.8,0,2,1,0,0,3.329080651,3.353697777,3.43228978
GHA,2013,0,21,0,1,3,0,0,20.36984254,22.13115469,23.66370497
GIN,2013,1,33.4,1,0,1,1,0,17.54527212,16.83167319,16.06974963
GMB,2013,1,21.8,0,2,1,1,0,26.22212251,27.39357146,27.20242061
GNB,2013,1,29.3,0,1,1,1,0,44.13561101,46.89249801,45.02245856
GNQ,2013,1,24.8,0,1,1,0,0,1.19199068,1.055657092,1.053502388
KEN,2013,1,26.5,0,1,1,0,4,18.61655159,18.82972593,18.89471122
LBR,2013,0,34.6,0,2,1,0,0,39.52996195,46.71272963,44.30050042
LSO,2013,0,36.4,0,1,1,0,1,5.064362952,4.8953086,4.543930319
MDG,2013,0,47.1,1,1,0,1,2,26.49303398,28.00061236,29.05020576
MLI,2013,1,30.4,2,1,1,1,1,36.75281627,38.11410248,34.55863058
MOZ,2013,1,42.7,1,1,1,2,0,23.50395072,24.91451109,25.75152927
MRT,2013,2,26.7,1,1,1,1,2,16.28260111,16.08596076,14.51589474
MWI,2013,0,42.4,1,1,0,3,0,28.67364219,28.28892624,28.77238042
NAM,2013,1,23.3,0,2,4,0,0,7.821464901,8.0544752,8.113627203
NER,2013,1,47.7,1,1,0,0,1,32.23501073,33.68099382,33.64676428
NGA,2013,0,37.6,1,0,1,0,1,20.75862283,21.85995862,22.23471099
RWA,2013,1,39,1,1,0,1,0,24.93369409,24.77932956,23.85008275
SEN,2013,2,19.8,1,2,1,1,0,13.72488038,14.09769235,12.94706104
SLE,2013,1,34.3,0,0,1,0,0,47.98330898,50.59211664,54.59346587
SOM,2013,2,30.7,1,0,1,2,2,NA,NA,NA
STP,2013,1,17.4,1,1,1,0,0,12.03395966,11.50249485,11.30013216
SWZ,2013,1,28.2,1,0,0,1,1,10.11581049,10.20333564,9.71988392
SYC,2013,1,8,4,0,1,1,3,2.667339015,2.044812859,2.221376932
TCD,2013,1,38.4,1,2,1,0,1,50.04519248,54.89981381,51.19620013
TGO,2013,0,26.9,1,0,0,0,0,37.51484194,42.52391813,29.87507362
TZA,2013,0,37.1,0,0,2,1,0,26.79086792,26.55092652,24.97686445
UGA,2013,0,32.9,2,3,1,0,1,26.04318783,26.93267196,28.69736875
ZMB,2013,1,40.1,2,1,1,0,0,8.226523184,9.321639536,9.648057822
ZWE,2013,2,29.7,1,0,2,1,0,7.144479446,8.044517527,8.665865173
AGO,2014,1,33.6,1,1,0,2,0,7.547056779,6.50749254,6.069630075
BDI,2014,0,56.4,1,3,0,1,0,34.95819234,38.3671082,35.4205377
BEN,2014,0,33.3,1,0,0,1,0,25.61845297,25.27540464,25.76897583
BFA,2014,1,30.7,0,1,2,1,1,23.69377277,23.64109279,23.75600502
BWA,2014,4,23.6,0,1,0,0,0,1.798135183,2.29859284,2.69526989
CAF,2014,0,41.7,2,1,2,0,0,33.98562172,32.25890625,36.81416647
CIV,2014,0,26.7,1,0,0,0,1,15.24175553,15.34290194,16.37514988
CMR,2014,0,31.4,1,1,1,0,0,16.82583818,16.72366119,16.65724017
COD,2014,2,42,2,4,2,3,0,18.56251731,19.31666763,20.44106071
COG,2014,0,22,0,1,1,0,0,4.547214356,4.260083078,3.798774923
COM,2014,2,29.8,0,2,2,0,1,30.01153359,30.78986256,30.17296341
ERI,2014,0,50.3,2,0,0,5,0,NA,NA,NA
ETH,2014,0,41,1,2,2,2,1,38.52044969,41.23950553,44.33094275
GAB,2014,1,16.4,0,2,2,0,0,3.62120477,3.329080651,3.353697777
GHA,2014,1,19.8,1,0,1,0,0,19.58377286,20.36984254,22.13115469
GIN,2014,0,33.1,0,1,0,1,1,17.52381638,17.54527212,16.83167319
GMB,2014,0,21.1,3,1,2,0,1,22.45883917,26.22212251,27.39357146
GNB,2014,1,29.1,2,1,1,0,1,41.13234659,44.13561101,46.89249801
GNQ,2014,0,24,0,1,1,0,0,1.294248772,1.19199068,1.055657092
KEN,2014,0,25.4,2,1,1,0,0,18.34783934,18.61655159,18.82972593
LBR,2014,1,34.3,0,0,2,0,0,36.49908298,39.52996195,46.71272963
LSO,2014,1,35.4,1,0,1,0,0,3.960714536,5.064362952,4.8953086
MDG,2014,3,46.2,0,0,1,1,1,25.84538293,26.49303398,28.00061236
MLI,2014,1,29.8,0,1,1,2,1,37.45676774,36.75281627,38.11410248
MOZ,2014,1,42.3,0,1,1,1,2,23.93493466,23.50395072,24.91451109
MRT,2014,1,26.3,1,2,1,1,1,18.81420596,16.28260111,16.08596076
MWI,2014,1,41.2,3,0,1,1,3,28.70269876,28.67364219,28.28892624
NAM,2014,2,22.5,0,1,2,0,0,8.138935754,7.821464901,8.0544752
NER,2014,0,47.4,2,1,1,1,0,33.42904423,32.23501073,33.68099382
NGA,2014,0,37.3,1,0,0,1,0,19.99025477,20.75862283,21.85995862
RWA,2014,0,37.8,0,1,1,1,1,24.70156772,24.93369409,24.77932956
SEN,2014,0,19.7,2,2,2,1,1,13.36876508,13.72488038,14.09769235
SLE,2014,2,33.4,0,1,0,0,0,51.79252867,47.98330898,50.59211664
SOM,2014,0,30.2,1,2,0,1,2,NA,NA,NA
STP,2014,0,16.4,2,1,1,1,0,11.37588673,12.03395966,11.50249485
SWZ,2014,0,27.2,0,1,0,1,1,9.234248843,10.11581049,10.20333564
SYC,2014,0,8,2,1,0,4,1,2.369696687,2.667339015,2.044812859
TCD,2014,1,37.9,1,1,2,1,0,50.64757656,50.04519248,54.89981381
TGO,2014,1,26.5,1,0,0,1,0,25.6848698,37.51484194,42.52391813
TZA,2014,0,36.1,1,0,0,0,1,25.80257745,26.79086792,26.55092652
UGA,2014,0,31.8,2,0,3,2,0,24.86325629,26.04318783,26.93267196
ZMB,2014,0,38.9,0,1,1,2,0,6.779597852,8.226523184,9.321639536
ZWE,2014,2,28.2,0,2,0,1,1,8.745304229,7.144479446,8.044517527
AGO,2015,1,34.4,2,1,1,1,2,9.122534471,7.547056779,6.50749254
BDI,2015,4,56.3,1,0,3,1,1,30.68083011,34.95819234,38.3671082
BEN,2015,1,33.2,2,0,0,1,1,26.39208509,25.61845297,25.27540464
BFA,2015,3,29.3,2,1,1,0,1,22.63307521,23.69377277,23.64109279
BWA,2015,0,23.5,5,4,1,0,0,1.940901212,1.798135183,2.29859284
CAF,2015,0,41.7,4,0,1,2,0,31.52738103,33.98562172,32.25890625
CIV,2015,0,25.3,3,0,0,1,0,18.36220725,15.24175553,15.34290194
CMR,2015,2,30.8,3,0,1,1,0,17.2094159,16.82583818,16.72366119
COD,2015,2,41.7,3,2,4,2,3,18.3703885,18.56251731,19.31666763
COG,2015,1,21.5,2,0,1,0,0,5.93644272,4.547214356,4.260083078
COM,2015,1,28.7,5,2,2,0,0,30.59862821,30.01153359,30.78986256
ERI,2015,0,50.4,6,0,0,2,5,NA,NA,NA
ETH,2015,0,40.1,7,0,2,1,2,36.05697539,38.52044969,41.23950553
GAB,2015,0,15.9,1,1,2,0,0,4.311629044,3.62120477,3.329080651
GHA,2015,0,18.9,3,1,0,1,0,19.9826507,19.58377286,20.36984254
GIN,2015,1,32.7,3,0,1,0,1,18.47824205,17.52381638,17.54527212
GMB,2015,2,20.4,1,0,1,3,0,22.20888602,22.45883917,26.22212251
GNB,2015,1,28.9,1,1,1,2,0,46.78812527,41.13234659,44.13561101
GNQ,2015,0,23.4,1,0,1,0,0,1.888390876,1.294248772,1.19199068
KEN,2015,2,24.3,4,0,1,2,0,19.46961478,18.34783934,18.61655159
LBR,2015,0,33.3,2,1,0,0,0,34.40375446,36.49908298,39.52996195
LSO,2015,0,34.4,4,1,0,1,0,3.781795521,3.960714536,5.064362952
MDG,2015,1,45.3,3,3,0,0,1,25.74335433,25.84538293,26.49303398
MLI,2015,1,29.1,3,1,1,0,2,37.72325687,37.45676774,36.75281627
MOZ,2015,0,41.7,4,1,1,0,1,22.9161876,23.93493466,23.50395072
MRT,2015,2,26,2,1,2,1,1,20.62974539,18.81420596,16.28260111
MWI,2015,0,40.2,4,1,0,3,1,27.48122386,28.70269876,28.67364219
NAM,2015,0,21.7,5,2,1,0,0,6.650426796,8.138935754,7.821464901
NER,2015,1,47.2,4,0,1,2,1,32.41699527,33.42904423,32.23501073
NGA,2015,1,37,4,0,0,1,1,20.63189348,19.99025477,20.75862283
RWA,2015,1,36.7,2,0,1,0,1,23.9937393,24.70156772,24.93369409
SEN,2015,2,19.5,1,0,2,2,1,14.28257673,13.36876508,13.72488038
SLE,2015,0,32.6,3,2,1,0,0,58.6518937,51.79252867,47.98330898
SOM,2015,1,29.7,7,0,2,1,1,NA,NA,NA
STP,2015,0,15.6,3,0,1,2,1,11.94616949,11.37588673,12.03395966
SWZ,2015,0,26.4,6,0,1,0,1,9.354311403,9.234248843,10.11581049
SYC,2015,0,7.9,10,0,1,2,4,2.045977369,2.369696687,2.667339015
TCD,2015,1,37.4,5,1,1,1,1,50.3955823,50.64757656,50.04519248
TGO,2015,0,26,2,1,0,1,1,24.37400299,25.6848698,37.51484194
TZA,2015,1,35.3,4,0,0,1,0,26.74588573,25.80257745,26.79086792
UGA,2015,3,30.7,4,0,0,2,2,23.53781298,24.86325629,26.04318783
ZMB,2015,0,37.6,4,0,1,0,2,4.980836564,6.779597852,8.226523184
ZWE,2015,0,26.8,3,2,2,0,1,8.284246903,8.745304229,7.144479446
AGO,2016,1,35.2,6,1,1,2,1,9.831168609,9.122534471,7.547056779
BDI,2016,1,56.3,1,4,0,1,1,31.54433409,30.68083011,34.95819234
BEN,2016,0,32.9,3,1,0,2,1,27.7536355,26.39208509,25.61845297
BFA,2016,2,28.3,4,3,1,2,0,21.71471783,22.63307521,23.69377277
BWA,2016,2,23.5,5,0,4,5,0,1.97587615,1.940901212,1.798135183
CAF,2016,0,41.6,4,0,0,4,2,31.91899149,31.52738103,33.98562172
CIV,2016,0,23.5,5,0,0,3,1,19.74037037,18.36220725,15.24175553
CMR,2016,1,30.2,3,2,0,3,1,17.19266239,17.2094159,16.82583818
COD,2016,1,41.7,4,2,2,3,2,18.59975364,18.3703885,18.56251731
COG,2016,1,21,4,1,0,2,0,7.00769254,5.93644272,4.547214356
COM,2016,2,27.4,3,1,2,5,0,31.36847203,30.59862821,30.01153359
ERI,2016,1,50.3,4,0,0,6,2,NA,NA,NA
ETH,2016,2,39.2,5,0,0,7,1,34.6988796,36.05697539,38.52044969
GAB,2016,2,15.6,7,0,1,1,0,4.97313691,4.311629044,3.62120477
GHA,2016,1,17.9,3,0,1,3,1,20.84429315,19.9826507,19.58377286
GIN,2016,2,32.2,6,1,0,3,0,17.58994666,18.47824205,17.52381638
GMB,2016,1,19.6,4,2,0,1,3,21.86137936,22.20888602,22.45883917
GNB,2016,0,28.9,5,1,1,1,2,46.34835901,46.78812527,41.13234659
GNQ,2016,0,22.8,5,0,0,1,0,2.332239209,1.888390876,1.294248772
KEN,2016,1,23.4,4,2,0,4,2,20.03451643,19.46961478,18.34783934
LBR,2016,1,32.3,2,0,1,2,0,35.91871351,34.40375446,36.49908298
LSO,2016,0,33.8,2,0,1,4,1,5.71207766,3.781795521,3.960714536
MDG,2016,3,44.4,2,1,3,3,0,25.13345436,25.74335433,25.84538293
MLI,2016,1,28.4,1,1,1,3,0,37.403703,37.72325687,37.45676774
MOZ,2016,0,40.8,7,0,1,4,0,22.85457446,22.9161876,23.93493466
MRT,2016,1,25.7,2,2,1,2,1,21.739169,20.62974539,18.81420596
MWI,2016,0,39.5,6,0,1,4,3,25.92704341,27.48122386,28.70269876
NAM,2016,0,20.8,8,0,2,5,0,6.720117635,6.650426796,8.138935754
NER,2016,0,47.1,4,1,0,4,2,35.26295821,32.41699527,33.42904423
NGA,2016,1,36.7,3,1,0,4,1,20.98310971,20.63189348,19.99025477
RWA,2016,2,35.9,2,1,0,2,0,25.16605039,23.9937393,24.70156772
SEN,2016,1,19.2,3,2,0,1,2,14.41402039,14.28257673,13.36876508
SLE,2016,2,31.7,3,0,2,3,0,58.20874133,58.6518937,51.79252867
SOM,2016,0,29.3,4,1,0,7,1,NA,NA,NA
STP,2016,0,14.7,3,0,0,3,2,11.39767885,11.94616949,11.37588673
SWZ,2016,1,25.6,2,0,0,6,0,8.959862917,9.354311403,9.234248843
SYC,2016,1,7.8,5,0,0,10,2,2.010871146,2.045977369,2.369696687
TCD,2016,0,36.9,4,1,1,5,1,46.12580311,50.3955823,50.64757656
TGO,2016,1,25.6,3,0,1,2,1,20.75798341,24.37400299,25.6848698
TZA,2016,2,34.8,2,1,0,4,1,27.44414257,26.74588573,25.80257745
UGA,2016,1,29.9,4,3,0,4,2,22.66032279,23.53781298,24.86325629
ZMB,2016,0,36.2,4,0,0,4,0,6.22847199,4.980836564,6.779597852
